phi1,phi2,energy
326.25,112.5,0.27945564971923886
337.5,112.5,0.3394771130406298
348.75,112.5,0.38135126304223377
360.0,112.5,0.3956462003807246
0.0,123.75,0.40369713195923396
11.25,123.75,0.38911166730486
22.5,123.75,0.3473388876154786
33.75,123.75,0.2878661417953481
45.0,123.75,0.2224407284920744
56.25,123.75,0.1696034805790987
67.5,123.75,0.15249683488582377
78.75,123.75,0.17578260933896672
90.0,123.75,0.22339624505639222
101.25,123.75,0.2724643420160646
112.5,123.75,0.30416993461403763
123.75,123.75,0.30917215404861054
135.0,123.75,0.28237410101246496
146.25,123.75,0.23583458512439393
157.5,123.75,0.1878748711606022
168.75,123.75,0.15366522910608182
180.0,123.75,0.14029407942416583
191.25,123.75,0.15266693427020073
202.5,123.75,0.186279505184757
213.75,123.75,0.23380859806184162
225.0,123.75,0.2806096493550285
236.25,123.75,0.3086659107084415
247.5,123.75,0.30480025521683274
258.75,123.75,0.2717734019670388
270.0,123.75,0.22306739976374956
281.25,123.75,0.17809871823646972
292.5,123.75,0.1577954611129826
303.75,123.75,0.17805026322639605
315.0,123.75,0.2301544010415455
326.25,123.75,0.29133239825659984
337.5,123.75,0.3484419993546908
348.75,123.75,0.389155560650579
360.0,123.75,0.40369611825553875
0.0,135.0,0.37422949174742826
11.25,135.0,0.3601946706294257
22.5,135.0,0.31739936859958107
33.75,135.0,0.2541895048434526
45.0,135.0,0.18486336192108865
56.25,135.0,0.13708712822244706
67.5,135.0,0.12580866726875684
78.75,135.0,0.15190888707456907
90.0,135.0,0.19974411829480232
101.25,135.0,0.24854865244196844
112.5,135.0,0.2799961562250246
123.75,135.0,0.28572702546352957
135.0,135.0,0.26084750696008996
146.25,135.0,0.21536264780206693
157.5,135.0,0.1673731309665527
168.75,135.0,0.13173862780149648
180.0,135.0,0.11720354419230716
191.25,135.0,0.1285695890965144
202.5,135.0,0.1623978760353566
213.75,135.0,0.20910789678873698
225.0,135.0,0.2553072139080541
236.25,135.0,0.28406617426571756
247.5,135.0,0.28126064950083673
258.75,135.0,0.24825467853588634
270.0,135.0,0.19912758405462228
281.25,135.0,0.1572831355542803
292.5,135.0,0.14192046471544018
303.75,135.0,0.16379820552992896
315.0,135.0,0.21055830321802205
326.25,135.0,0.26696398886724637
337.5,135.0,0.32055827027397754
348.75,135.0,0.3589404157546596
360.0,135.0,0.3742283766732726
0.0,146.25,0.323069010170002
11.25,146.25,0.30985741736003547
22.5,146.25,0.2656548926534015
33.75,146.25,0.20015182969109446
45.0,146.25,0.13552906652148522
56.25,146.25,0.0950969092127707
67.5,146.25,0.08907774280578451
78.75,146.25,0.11534360170116997
90.0,146.25,0.1602780200628331
101.25,146.25,0.20520189591206872
112.5,146.25,0.23806432651508658
123.75,146.25,0.24439023948798422
135.0,146.25,0.22055726808866893
146.25,146.25,0.17619173991988646
157.5,146.25,0.1290849557644833
168.75,146.25,0.09343767994050722
180.0,146.25,0.0787957520224154
191.25,146.25,0.09095917580270907
202.5,146.25,0.12386276275265118
213.75,146.25,0.16900580121728126
225.0,146.25,0.2139422469854253
236.25,146.25,0.2423824990810317
247.5,146.25,0.23990723879433062
258.75,146.25,0.20785718987463042
270.0,146.25,0.1595256496048023
281.25,146.25,0.12034176632278104
292.5,146.25,0.10830708283901913
303.75,146.25,0.12899372248284635
315.0,146.25,0.16896403664850368
326.25,146.25,0.21973880418681802
337.5,146.25,0.2689780142336531
348.75,146.25,0.30652801082032965
